"ID","LabCode","C14Age","C14AgeError","MedianDate","Two-Sigma Range","Method","SiteName_jp","SiteName_en","Laitude","Longitude","Context","Prefecture","Region","PublicationYear","Reference","Notes","USED"
156,"IAAA-83091",2481,30,"634 BC","772BC-477BC (0.954)|431BC-429BC (0.003)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1393　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
157,"IAAA-83092",2889,29,"1072 BC","1200BC-1167BC (0.062)|1165BC-1142BC (0.048)|1131BC-983BC (0.838)|945BC-940BC (0.006)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1405　3層","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","Undetermined specimen; see also Endo and Leipe 2021",FALSE
158,"IAAA-83141",1217,32,"815 AD","685AD-742AD (0.17)|762AD-764AD (0.004)|773AD-889AD (0.783)","AMS","天良七堂遺跡","Tenrashichidoiseki",36.31816111,139.3263111,"西側正倉城　7号礎石建物跡西側","Gunma","Kanto",2010,"天良七堂遺跡２","",TRUE
159,"IAAA-83142",1226,32,"805 AD","683AD-743AD (0.245)|761AD-765AD (0.009)|772AD-886AD (0.702)","AMS","天良七堂遺跡","Tenrashichidoiseki",36.31816111,139.3263111,"西側正倉状　8号礎石建物跡雨落ち溝","Gunma","Kanto",2010,"天良七堂遺跡２","",TRUE
160,"IAAA-83143",1118,34,"934 AD","776AD-785AD (0.024)|832AD-849AD (0.024)|876AD-994AD (0.893)|1006AD-1016AD (0.015)","AMS","上野国新田郡庁跡","Kozukenokuninittagunchoato",36.33218056,139.3344611,"1号礎石建物跡東側","Gunma","Kanto",2010,"天良七堂遺跡２","",TRUE
161,"IAAA-83266",2098,36,"112 BC","340BC-324BC (0.027)|200BC-39BC (0.901)|12BC-3AD (0.026)","AMS","早水町遺跡","Hayamizumachiiseki",33.21188889,130.57855,"試料名:1","Fukuoka","Kyushu",2013,"経営体育成基盤整備事業(八女東部第2地区)圃場整備事業地内　埋蔵文化財発掘調査報告書　八女市文化財調査報告書　第96集","",TRUE
162,"IAAA-83267",2086,36,"99 BC","336BC-330BC (0.008)|197BC-24BC (0.894)|17BC-7AD (0.056)","AMS","早水町遺跡","Hayamizumachiiseki",33.21188889,130.57855,"試料名:2","Fukuoka","Kyushu",2013,"経営体育成基盤整備事業(八女東部第2地区)圃場整備事業地内　埋蔵文化財発掘調査報告書　八女市文化財調査報告書　第96集","",TRUE
163,"IAAA-90390",371,28,"1515 AD","1452AD-1525AD (0.538)|1555AD-1632AD (0.418)","AMS","米田大覚遺跡","Yonedadaikakuiseki",36.73846111,137.2412889,"SD003","Toyama","Chubu",2009,"富山市埋蔵文化財調査報告38　米田大覚遺跡発掘調査報告書","",TRUE
164,"IAAA-92250",473,16,"1435 AD","1423AD-1448AD (0.96)","AMS","乳井茶臼館","Nyoichausudate",40.54726111,140.5616306,"A区　第84号土坑　覆土","Aomori","Tohoku",2011,"青森県埋蔵文化財調査報告書第507集　乳井茶臼館","",TRUE
165,"IAAA-92741",324,26,"1562 AD","1489AD-1641AD (0.956)","AMS","堀越城跡","Horikoshijoato",40.57088056,140.5199611,"整地面(生活面)直上　炭化物層　1号焼土遺構","Aomori","Tohoku",2010,"史跡津軽氏城跡　堀越城跡発掘調査報告書11","",TRUE
166,"IAAA-93077",1890,30,"157 AD","76AD-232AD (0.96)","AMS","釜蓋遺跡","Kamabutaiseki",37.07649907,138.2455463,"SX83　CW6層","Niigata","Chubu",2013,"史跡斐太遺跡群　釜蓋遺跡確認調査概要報告書1","",TRUE
167,"IAAA-93254",329,24,"1563 AD","1488AD-1639AD (0.957)","AMS","松本遺跡","Matsumotoiseki",40.62243056,140.42735,"竪穴遺構ST8　遺構基底直上炭化物集中部","Aomori","Tohoku",2011,"松本遺跡発掘調査報告書","",TRUE
168,"JAT-9673",377,39,"1518 AD","1445AD-1528AD (0.528)|1541AD-1546AD (0.012)|1550AD-1634AD (0.417)","AMS","江門遺跡","Emoniseki",35.34593056,137.2185389,"Ⅳb層","Gifu","Chubu",2014,"平成24年度土岐市市内遺跡発掘調査報告書","",TRUE
169,"JAT-9674",245,41,"1661 AD","1510AD-1592AD (0.194)|1619AD-1688AD (0.39)|1729AD-1808AD (0.299)|1924AD-1950AD (0.073)","AMS","江門遺跡","Emoniseki",35.34593056,137.2185389,"Ⅳb層","Gifu","Chubu",2014,"平成24年度土岐市市内遺跡発掘調査報告書","",TRUE
170,"JAT-9675",666,37,"1322 AD","1277AD-1327AD (0.504)|1345AD-1395AD (0.452)","AMS","江門遺跡","Emoniseki",35.34593056,137.2185389,"Ⅴb層","Gifu","Chubu",2014,"平成24年度土岐市市内遺跡発掘調査報告書","",TRUE
171,"JAT-9676",639,41,"1346 AD","1284AD-1397AD (0.955)","AMS","江門遺跡","Emoniseki",35.34593056,137.2185389,"Ⅴb層","Gifu","Chubu",2014,"平成24年度土岐市市内遺跡発掘調査報告書","",TRUE
172,"KSU-2220",1000,15,"1028 AD","995AD-1006AD (0.133)|1013AD-1045AD (0.725)|1085AD-1093AD (0.026)|1105AD-1121AD (0.067)|1142AD-1145AD (0.006)","Beta Counting","鞠智城跡","Kikuchijoato",33.02808056,130.7596694,"南側八角形建築址の掘形埋土を切る柱穴より出土","Kumamoto","Kyushu",1992,"熊本県文化財調査報告　第124集　鞠智城跡　-第13次調査報告-","",TRUE
173,"KSU-2221",1450,15,"621 AD","591AD-646AD (0.957)","Beta Counting","鞠智城跡","Kikuchijoato",33.02808056,130.7596694,"17調査区の北東隅から検出された炭化米層の一部","Kumamoto","Kyushu",1992,"熊本県文化財調査報告　第124集　鞠智城跡　-第13次調査報告-","",TRUE
174,"KSU-511",2210,30,"280 BC","377BC-196BC (0.933)|186BC-177BC (0.023)","Beta Counting","方保田東原遺跡","Katodahigashibaruiseki",33.00266944,130.7184389,"第Ⅲ次調査近江工業内第5トレンチ2号溝底部出土","Kumamoto","Kyushu",1982,"山鹿市立博物館調査報告書　第2集　方保田東原遺跡","",TRUE
175,"MTC-03614",2445,30,"548 BC","752BC-683BC (0.244)|667BC-633BC (0.107)|623BC-611BC (0.019)|592BC-410BC (0.585)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"20次,SK215土坑,2層,707","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
176,"MTC-04907",2315,35,"387 BC","465BC-436BC (0.028)|421BC-351BC (0.721)|291BC-209BC (0.206)","AMS","堀部第1遺跡","Horibedai1iseki",35.51956944,133.0290389,"東区5号墓内","Shimane","Chugoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
177,"MTC-06969",1915,30,"123 AD","27AD-46AD (0.046)|57AD-212AD (0.912)","AMS","赤坂遺跡","Akasakaiseki",35.14241111,139.6207694,"11次,3B住居跡,4区,覆土下","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
178,"MTC-06970",1870,30,"172 AD","84AD-95AD (0.028)|116AD-238AD (0.93)","AMS","赤坂遺跡","Akasakaiseki",35.14241111,139.6207694,"11次,3B住居跡,4区,覆土下","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
179,"MTC-06971",1875,30,"169 AD","83AD-96AD (0.038)|114AD-236AD (0.917)","AMS","赤坂遺跡","Akasakaiseki",35.14241111,139.6207694,"11次,3B住居跡,4区,覆土下","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
180,"MTC-06972",2050,35,"48 BC","165BC-28AD (0.933)|45AD-58AD (0.023)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
181,"MTC-06973",2070,35,"82 BC","173BC-20AD (0.956)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
182,"MTC-06974",2065,30,"76 BC","166BC-11AD (0.957)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
183,"MTC-06975",2070,30,"82 BC","168BC-24BC (0.848)|22BC-19BC (0.007)|17BC-7AD (0.1)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
184,"MTC-06976",2080,30,"92 BC","174BC-32BC (0.893)|30BC-26BC (0.005)|16BC-6AD (0.059)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
185,"MTC-06977",2065,30,"76 BC","166BC-11AD (0.957)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
186,"MTC-06978",2025,30,"13 BC","103BC-65BC (0.084)|60BC-77AD (0.87)|102AD-105AD (0.003)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
187,"MTC-06979",2090,30,"102 BC","196BC-185BC (0.015)|177BC-39BC (0.912)|12BC-3AD (0.029)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
188,"MTC-08498",240,35,"1667 AD","1524AD-1573AD (0.104)|1630AD-1685AD (0.431)|1731AD-1806AD (0.344)|1926AD-1950AD (0.078)","AMS","荒海貝塚","Aramikaizuka",35.83426944,140.3242194,NA,"Chiba","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
189,"MTC-08502",2415,40,"506 BC","749BC-685BC (0.158)|666BC-635BC (0.072)|619BC-614BC (0.005)|589BC-575BC (0.015)|573BC-399BC (0.706)","AMS","横隈山遺跡","Yokokumayamaiseki",33.43281111,130.5669111,"不明　貯蔵穴","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
190,"MTC-08503",2450,90,"583 BC","789BC-395BC (0.955)","AMS","横隈山遺跡","Yokokumayamaiseki",33.43281111,130.5669111,"不明　貯蔵穴","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
191,"MTC-08504",2425,40,"520 BC","751BC-683BC (0.185)|667BC-633BC (0.084)|622BC-612BC (0.013)|591BC-402BC (0.672)","AMS","横隈山遺跡","Yokokumayamaiseki",33.43281111,130.5669111,"不明　貯蔵穴","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
192,"MTC-08959",2515,50,"638 BC","795BC-476BC (0.947)|433BC-424BC (0.009)","AMS","板付遺跡","Itazukeiseki",33.563888,130.451944,"岡崎先生調査資料（夜臼～板付Ⅰの貯蔵穴があるところか？）","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
193,"MTC-10018",230,30,"1743 AD","1530AD-1537AD (0.012)|1636AD-1684AD (0.426)|1732AD-1804AD (0.423)|1928AD-1950AD (0.095)","AMS","羽黒館グランド遺跡","Hagurokangurandoiseki",40.51788056,140.5665306,NA,"Aomori","Tohoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
194,"MTC-10670",2335,30,"399 BC","513BC-502BC (0.012)|482BC-361BC (0.923)|274BC-264BC (0.012)|241BC-235BC (0.008)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"20次SK215土坑2,No.2","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
195,"MTC-10672",2320,60,"390 BC","735BC-695BC (0.027)|663BC-650BC (0.012)|545BC-340BC (0.624)|324BC-200BC (0.291)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"20次SK215土坑2,No.2","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
196,"MTC-10944",1820,40,"229 AD","124AD-260AD (0.697)|278AD-337AD (0.258)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SB27住居跡","Nagano","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
197,"MTC-10948",2300,35,"373 BC","409BC-351BC (0.621)|302BC-299BC (0.005)|295BC-208BC (0.332)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK115土坑","Nagano","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
198,"MTC-10949",2320,40,"390 BC","514BC-497BC (0.016)|489BC-351BC (0.733)|294BC-208BC (0.207)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK115土坑","Nagano","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
199,"MTC-10974",1820,35,"230 AD","127AD-257AD (0.718)|281AD-328AD (0.237)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y13号住居跡,旧16住居跡,ピット9,土壌サンプル1層","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
200,"MTC-10975",1775,30,"296 AD","216AD-267AD (0.285)|270AD-362AD (0.671)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y43号住居跡,旧31住居跡,炉No1,燃焼面,覆土","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
201,"MTC-10978",1885,45,"157 AD","26AD-48AD (0.029)|56AD-243AD (0.926)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y147号住居跡,旧59住居跡","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
202,"MTC-10979",1915,45,"122 AD","11AD-233AD (0.956)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y126号住居跡,旧65住居跡,ピット5(柱穴),上層","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
203,"MTC-10980",1830,40,"217 AD","121AD-258AD (0.776)|280AD-334AD (0.178)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y32号住居跡,旧65住居跡,炉址内","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
204,"MTC-10981",1880,35,"164 AD","76AD-238AD (0.956)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y34号住居跡,旧68住居跡,炉址セクション","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
205,"MTC-10982",1885,40,"158 AD","31AD-39AD (0.01)|61AD-240AD (0.948)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y124号住居跡,旧16住居跡,炉址覆土","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
206,"MTC-10983",1920,35,"115 AD","22AD-213AD (0.957)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y121号住居跡,旧119住居跡,ピット1,2","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
207,"MTC-10984",1880,35,"164 AD","76AD-238AD (0.956)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y57号住居跡,旧120住居跡,ピット8","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
208,"MTC-10985",1900,40,"144 AD","28AD-46AD (0.035)|58AD-234AD (0.92)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"Y62号住居跡,旧149住居跡,炉址","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
209,"MTC-10987",70,60,"1831 AD","1672AD-1743AD (0.273)|1748AD-1766AD (0.035)|1773AD-1778AD (0.009)|1799AD-1942AD (0.643)","AMS","新井三丁目遺跡","Araisanchomeiseki",35.71583056,139.6619611,"1号方形周溝,主体部","Tokyo","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
210,"MTC-11002",440,60,"1468 AD","1399AD-1528AD (0.725)|1540AD-1546AD (0.007)|1550AD-1634AD (0.223)","AMS","野尻遺跡","Nojiriiseki",35.73471111,140.8267694,NA,"Chiba","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
211,"MTC-11507",2530,50,"646 BC","803BC-513BC (0.938)|503BC-483BC (0.017)","AMS","中屋敷遺跡","Nakayashikiiseki",35.3347463,139.1673167,"土坑","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
212,"MTC-11508",2400,60,"514 BC","756BC-680BC (0.171)|670BC-605BC (0.113)|597BC-389BC (0.67)","AMS","中屋敷遺跡","Nakayashikiiseki",35.3347463,139.1673167,"土坑","Kanagawa","Kanto",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
213,"MTC-12210",1985,35,"33 AD","45BC-120AD (0.956)","AMS","領家遺跡","Ryokeiseki",35.06276111,133.9116389,"31住居跡,焼失住居,多量遺存の焼米（中国自動車道5（岡山県8,1975年-392頁）","Okayama","Chugoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
214,"N-4449",400,60,"1509 AD","1425AD-1531AD (0.562)|1536AD-1636AD (0.393)","Beta Counting","妻の神Ⅰ遺跡","Sainokami1iseki",40.20845,140.8047806,"SI003","Akita","Tohoku",1984,"秋田県文化財調査報告書第107集　東北縦貫自動車道発掘調査報告書Ⅷ","",TRUE
215,"N-934",1850,115,"187 AD","103BC-433AD (0.95)|467AD-473AD (0.002)|518AD-528AD (0.003)","Beta Counting","外原遺跡","Sotobaruiseki",35.69491944,139.9821,"4号址","Chiba","Kanto",1972,"外原","",TRUE
216,"NUTA-6589",458,89,"1464 AD","1307AD-1363AD (0.102)|1387AD-1640AD (0.853)","AMS","里浜貝塚","Satohamakaizuka",38.33573611,141.1437097,"第1植物遺体層","Miyagi","Tohoku",1999,"鳴瀬町文化財調査報告書第5集　里浜貝塚　平成10年度発掘調査概報","",TRUE
217,"NUTA2-7470",2069,28,"81 BC","167BC-24BC (0.854)|17BC-7AD (0.102)","AMS","唐古・鍵遺跡","Karako-Kagiiseki",34.573,135.7973194,"22次,SK102土坑,2層,№355","Nara","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
218,"PED-10198",345,20,"1566 AD","1475AD-1528AD (0.362)|1540AD-1634AD (0.6)","AMS","川嶺辻遺跡","Kawaminetsujiiseki",27.69315,128.9751611,"３a層","Kagoshima","Kyushu",2010,"伊仙町埋蔵文化財発掘調査報告書(13)　川嶺辻遺跡","",TRUE
219,"PED-16244",1499,17,"579 AD","547AD-604AD (0.953)|630AD-633AD (0.01)","AMS","玉名平野条里跡(古閑前地区)","Tamanaheiyajoriato（Kogamaechiku）",32.93986111,130.5773806,"試料№:1　廃棄住居跡(H14),土坑内","Kumamoto","Kyushu",2011,"熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区)","",TRUE
220,"PED-16245",1526,17,"560 AD","484AD-491AD (0.016)|537AD-598AD (0.941)","AMS","玉名平野条里跡(古閑前地区)","Tamanaheiyajoriato（Kogamaechiku）",32.93986111,130.5773806,"試料№:2　廃棄住居跡(H14),土坑内","Kumamoto","Kyushu",2011,"熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区)","",TRUE
221,"PED-16246",1499,16,"579 AD","548AD-603AD (0.956)","AMS","玉名平野条里跡(古閑前地区)","Tamanaheiyajoriato（Kogamaechiku）",32.93986111,130.5773806,"試料№:3　廃棄住居跡(H14),土坑内","Kumamoto","Kyushu",2011,"熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区)","",TRUE
222,"PED-17363",2102,21,"113 BC","173BC-48BC (0.956)","AMS","上岩田遺跡","Kamiiwataiseki",33.3998,130.5762611,"試料名:№1　焼失竪穴住居(305号住居)","Fukuoka","Kyushu",2014,"上岩田工業団地造成事業関係埋蔵文化財調査報告書-(6)-　福岡県小郡市所在　上岩田遺跡Ⅴ　小郡市埋蔵文化財調査報告書　第277集","",TRUE
223,"PED-17364",2103,23,"115 BC","194BC-188BC (0.012)|175BC-47BC (0.946)","AMS","上岩田遺跡","Kamiiwataiseki",33.3998,130.5762611,"試料名:№2　焼失竪穴住居(305号住居)","Fukuoka","Kyushu",2014,"上岩田工業団地造成事業関係埋蔵文化財調査報告書-(6)-　福岡県小郡市所在　上岩田遺跡Ⅴ　小郡市埋蔵文化財調査報告書　第277集","",TRUE
224,"PED-8206",1540,15,"550 AD","439AD-451AD (0.042)|454AD-460AD (0.015)|478AD-496AD (0.096)|533AD-587AD (0.801)|589AD-589AD (0.002)","AMS","宮ノ東遺跡","Miyanohigashiiseki",32.08108889,131.4152694,"試料名:8","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60","",TRUE
225,"PED-8215",1310,20,"722 AD","659AD-705AD (0.479)|727AD-729AD (0.007)|737AD-773AD (0.472)","AMS","宮ノ東遺跡","Miyanohigashiiseki",32.08108889,131.4152694,"試料名:48","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60","",TRUE
226,"PED-8219",1260,20,"725 AD","675AD-752AD (0.75)|758AD-774AD (0.097)|790AD-822AD (0.108)","AMS","宮ノ東遺跡","Miyanohigashiiseki",32.08108889,131.4152694,"試料名:99","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60","",TRUE
227,"PED-8222",1205,20,"830 AD","774AD-776AD (0.021)|780AD-885AD (0.934)","AMS","宮ノ東遺跡","Miyanohigashiiseki",32.08108889,131.4152694,"試料名:116","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60","",TRUE
228,"PED-9497",1845,25,"201 AD","126AD-244AD (0.956)","AMS","尾花A遺跡","Obanaaiseki",32.19176111,131.5254694,"試料№:5　S404-焼土 竪穴住居","Miyazaki","Kyushu",2009,"宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3)","",TRUE
229,"PED-9509",1720,25,"345 AD","252AD-292AD (0.275)|317AD-409AD (0.68)","AMS","尾花A遺跡","Obanaaiseki",32.19176111,131.5254694,"試料№:89　SA18-SC1埋土　住居内土坑","Miyazaki","Kyushu",2009,"宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3)","",TRUE
