ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
297,FALSE,TRUE,TRUE,,N-4230,2680,80,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),"C-I-④区　第10〜11層,山ノ寺式",菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
298,FALSE,TRUE,TRUE,,N-4449,400,60,Beta Counting,NA,NA,Seed,炭化米,carbonized rice (Oryza sativa),SI003,妻の神Ⅰ遺跡,Sainokami1iseki,鹿角市花輪字妻の神,40.20845,140.8047806,Akita,Tohoku,Rekihaku 14C Database,1984,秋田県文化財調査報告書第107集　東北縦貫自動車道発掘調査報告書Ⅷ,,
299,FALSE,TRUE,FALSE,Too Old? Needs Checking,N-4598,4030,65,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),H-I-4　12層,菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
300,FALSE,TRUE,FALSE,Needs to be checked but looks too old,N-4599,2960,90,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),H-I-4　8上層,菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
301,FALSE,TRUE,FALSE,Too Old? Needs Checking,N-4600,3230,100,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),H-I-4　8下層,菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
302,FALSE,TRUE,FALSE,Too Old? Needs Checking,N-4601,15100,215,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),H-I-1　16層,菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
303,FALSE,TRUE,FALSE,Too Old? Needs Checking,N-4602,5210,65,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),H-I-1　14上層,菜畑遺跡,Nabatakeiseki,唐津市菜畑字松山寺山,33.45073056,129.9545889,Saga,Kyushu,Rekihaku 14C Database,1982,唐津市文化財調査報告　第5集　菜畑遺跡,,
304,TRUE,FALSE,,,N-5747,2670,80,Beta Counting,NA,NA,Soil,土壌,soil,2号水田址　水田層19a層,宮ノ前遺跡,Miyanomaeiseki,韮崎市藤井町駒井字宮ノ前,35.73478889,138.4419111,Yamanashi,Chubu,Rekihaku 14C Database,1992,宮ノ前遺跡(本文編),,
305,TRUE,FALSE,,,N-5748,2190,80,Beta Counting,NA,NA,Soil,土壌,soil,2号水田址　水田層19a層と同層準址考えられる西側の地層,宮ノ前遺跡,Miyanomaeiseki,韮崎市藤井町駒井字宮ノ前,35.73478889,138.4419111,Yamanashi,Chubu,Rekihaku 14C Database,1992,宮ノ前遺跡(本文編),,
306,FALSE,TRUE,TRUE,,N-934,1850,115,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),4号址,外原遺跡,Sotobaruiseki,船橋市,35.69491944,139.9821,Chiba,Kanto,Rekihaku 14C Database,1972,外原,,
307,FALSE,TRUE,TRUE,,NUTA-6589,458,89,AMS,NA,-27,Seed,イネ,rice (Oryza sativa),第1植物遺体層,里浜貝塚,Satohamakaizuka,桃生郡鳴瀬町宮戸,38.33573611,141.1437097,Miyagi,Tohoku,Rekihaku 14C Database,1999,鳴瀬町文化財調査報告書第5集　里浜貝塚　平成10年度発掘調査概報,,
308,FALSE,TRUE,TRUE,,NUTA2-7470,2069,28,AMS,-25.2,NA,Charred Seed,"種実,コメ,焼米",seed/nuts rice (Oryza sativa) rice (Oryza sativa),"22次,SK102土坑,2層,№355",唐古=鍵遺跡,Karako・Kagiiseki,磯城郡田原本町大字唐子および鍵,34.573,135.7973194,Nara,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
309,TRUE,FALSE,,,PAL-10826･YU-6966,1252,20,AMS,-28.31,NA,Wood,木材(モミ属),material wood fir (Abies sp.),測定№:5　SS03(1面西側水田)　取上№:R-12　器種:曲物底板　採取箇所:外側3〜4年分　最外部欠損,雀居遺跡(第19次調査区),Sasaiiseki（Dai19jichosaku）,福岡市博多区大字雀居,33.58088889,130.4462111,Fukuoka,Kyushu,Rekihaku 14C Database,2018,福岡空港滑走路増設事業に伴う埋蔵文化財調査報告(1)　雀居11　-雀居遺跡第19次調査報告-　福岡市埋蔵文化財調査報告書　第1332集,,
310,TRUE,FALSE,,,PAL-10827･YU-6967,1335,20,AMS,-25.61,NA,Wood,木材(スギ),material wood Japanese cedar (Cryptomeria japonica),測定№:6　SS03(1面西側水田)　取上№:R-14　器種:曲物底板　採取箇所:外側3〜4年分　最外部欠損,雀居遺跡(第19次調査区),Sasaiiseki（Dai19jichosaku）,福岡市博多区大字雀居,33.58088889,130.4462111,Fukuoka,Kyushu,Rekihaku 14C Database,2018,福岡空港滑走路増設事業に伴う埋蔵文化財調査報告(1)　雀居11　-雀居遺跡第19次調査報告-　福岡市埋蔵文化財調査報告書　第1332集,,
311,FALSE,TRUE,TRUE,,PED-10198,345,20,AMS,-27.59,NA,Charred Seed,炭化種実（イネ）,carbonized seed/nuts rice (Oryza sativa),３a層,川嶺辻遺跡,Kawaminetsujiiseki,大島郡伊仙町目手久,27.69315,128.9751611,Kagoshima,Kyushu,Rekihaku 14C Database,2010,伊仙町埋蔵文化財発掘調査報告書(13)　川嶺辻遺跡,,
312,FALSE,TRUE,TRUE,,PED-16244,1499,17,AMS,-23.38,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),"試料№:1　廃棄住居跡(H14),土坑内",玉名平野条里跡(古閑前地区),Tamanaheiyajoriato（Kogamaechiku）,玉名市両迫間158-2ほか9筆,32.93986111,130.5773806,Kumamoto,Kyushu,Rekihaku 14C Database,2011,熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区),,
313,FALSE,TRUE,TRUE,,PED-16245,1526,17,AMS,-23.2,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),"試料№:2　廃棄住居跡(H14),土坑内",玉名平野条里跡(古閑前地区),Tamanaheiyajoriato（Kogamaechiku）,玉名市両迫間158-2ほか9筆,32.93986111,130.5773806,Kumamoto,Kyushu,Rekihaku 14C Database,2011,熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区),,
314,FALSE,TRUE,TRUE,,PED-16246,1499,16,AMS,-20.48,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),"試料№:3　廃棄住居跡(H14),土坑内",玉名平野条里跡(古閑前地区),Tamanaheiyajoriato（Kogamaechiku）,玉名市両迫間158-2ほか9筆,32.93986111,130.5773806,Kumamoto,Kyushu,Rekihaku 14C Database,2011,熊本県文化財調査報告　第261集　玉名平野条里跡(古閑前地区),,
315,FALSE,TRUE,TRUE,,PED-17363,2102,21,AMS,-21.55,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№1　焼失竪穴住居(305号住居),上岩田遺跡,Kamiiwataiseki,小郡市上岩田他,33.3998,130.5762611,Fukuoka,Kyushu,Rekihaku 14C Database,2014,上岩田工業団地造成事業関係埋蔵文化財調査報告書-(6)-　福岡県小郡市所在　上岩田遺跡Ⅴ　小郡市埋蔵文化財調査報告書　第277集　　,,
316,FALSE,TRUE,TRUE,,PED-17364,2103,23,AMS,-25.27,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№2　焼失竪穴住居(305号住居),上岩田遺跡,Kamiiwataiseki,小郡市上岩田他,33.3998,130.5762611,Fukuoka,Kyushu,Rekihaku 14C Database,2014,上岩田工業団地造成事業関係埋蔵文化財調査報告書-(6)-　福岡県小郡市所在　上岩田遺跡Ⅴ　小郡市埋蔵文化財調査報告書　第277集　　,,
317,FALSE,TRUE,TRUE,,PED-8206,1540,15,AMS,-24.98,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料名:8　　,宮ノ東遺跡,Miyanohigashiiseki,西都市大字岡富字宮ノ東他,32.08108889,131.4152694,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60　,,
318,FALSE,TRUE,TRUE,,PED-8215,1310,20,AMS,-27.79,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料名:48,宮ノ東遺跡,Miyanohigashiiseki,西都市大字岡富字宮ノ東他,32.08108889,131.4152694,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60　,,
319,FALSE,TRUE,TRUE,,PED-8219,1260,20,AMS,-24.86,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料名:99,宮ノ東遺跡,Miyanohigashiiseki,西都市大字岡富字宮ノ東他,32.08108889,131.4152694,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60　,,
320,FALSE,TRUE,TRUE,,PED-8222,1205,20,AMS,-26.56,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料名:116,宮ノ東遺跡,Miyanohigashiiseki,西都市大字岡富字宮ノ東他,32.08108889,131.4152694,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第173集　宮ノ東遺跡　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書60　,,
321,FALSE,TRUE,TRUE,,PED-9497,1845,25,AMS,-23.96,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:5　S404-焼土 竪穴住居,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
322,FALSE,TRUE,TRUE,,PED-9509,1720,25,AMS,-25.12,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:89　SA18-SC1埋土　住居内土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
323,FALSE,TRUE,TRUE,,PED-9519,760,25,AMS,-24.96,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:153　SC88-埋土　土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
324,FALSE,TRUE,TRUE,,PED-9520,775,20,AMS,-24.4,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:165　SC92-埋土　土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
325,FALSE,TRUE,TRUE,,PED-9526,2115,20,AMS,-23.65,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:197　S119-P11埋土　住居内ピット,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
326,FALSE,TRUE,TRUE,,PED-9527,2165,20,AMS,-22.81,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:200　S155-SC1埋土　住居内土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
327,FALSE,TRUE,TRUE,,PED-9530,1770,20,AMS,-26.24,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:228　S34-Ⅳ層　土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
328,FALSE,TRUE,TRUE,,PED-9536,1825,20,AMS,-24.9,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:251　S103-底　土坑,尾花A遺跡,Obanaaiseki,児湯郡川南町,32.19176111,131.5254694,Miyazaki,Kyushu,Rekihaku 14C Database,2009,宮崎県埋蔵文化財センター発掘調査報告書　第195集　尾花A遺跡Ⅱ　弥生時代以降編　東九州自動車道(都農〜西都間)建設に伴う埋蔵文化財発掘調査報告書65　本文編(1/3),,
329,FALSE,TRUE,TRUE,,PLD-10219,2450,20,AMS,-26.8,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),森先生調査資料か？,有田遺跡,Aritaiseki,福岡市早良区有田・小田部・南庄地区,33.56435,130.3361194,Fukuoka,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
330,FALSE,TRUE,TRUE,,PLD-10282,2365,25,AMS,-26.26,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),NA,上里遺跡,Uwazatoiseki,京都市西京区大原野上里南ノ町・大原野石見町地内,34.95000278,135.6843833,Kyoto,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,Updated coordinates to match remaining entries,
331,FALSE,TRUE,TRUE,,PLD-1034,2260,30,AMS,NA,-25.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),SB07-P20,猫島遺跡,Nekojimaiseki,一宮市千秋町,35.30778889,136.8547194,Aichi,Chubu,Rekihaku 14C Database,2003,愛知県埋蔵文化財センター調査報告書第107集　猫島遺跡,,
332,FALSE,TRUE,FALSE,Duplicate of 331,PLD-1034,2260,30,AMS,NA,-25.8,Charred Seed,炭化米,carbonized rice (Oryza sativa),SB07-P20,八王子遺跡,Hachiojiiseki,一宮市大和町苅安賀,35.2904,136.7766,Aichi,Chubu,Rekihaku 14C Database,2002,愛知県埋蔵文化財センター調査報告書第92集　八王子遺跡　報告編,,
333,FALSE,TRUE,FALSE,Duplicate of 334,PLD-11630,1925,25,AMS,-26.61,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),"Btr,溝2層",カラカミ遺跡,Karakamiiseki,壱岐市勝本町立石東触字カラカミ765-1,33.79505,129.6965806,Nagasaki,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
334,FALSE,TRUE,TRUE,,PLD-11630,1925,25,AMS,-26.6,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料番号:NAKU-C8　第2地点Bトレンチ溝2層　,カラカミ遺跡,Karakamiiseki,壱岐市勝本町立石東触ほか,33.79505,129.6965806,Nagasaki,Kyushu,Rekihaku 14C Database,2008,壱岐カラカミ遺跡Ⅱ　-カラカミ遺跡東亜考古学会第1地点の発掘調査-　平成20年度独立行政法人日本学術振興会科学研究費補助金基盤研究B,,
335,FALSE,TRUE,FALSE,Duplicate of 336,PLD-11632,2085,20,AMS,-26.02,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),"B9-a,貝層",カラカミ遺跡,Karakamiiseki,壱岐市勝本町立石東触字カラカミ765-1,33.79505,129.6965806,Nagasaki,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
336,FALSE,TRUE,TRUE,,PLD-11632,2085,20,AMS,-26,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料番号:NAKU-C11　第1地点B9-5a貝層,カラカミ遺跡,Karakamiiseki,壱岐市勝本町立石東触ほか,33.79505,129.6965806,Nagasaki,Kyushu,Rekihaku 14C Database,2008,壱岐カラカミ遺跡Ⅱ　-カラカミ遺跡東亜考古学会第1地点の発掘調査-　平成20年度独立行政法人日本学術振興会科学研究費補助金基盤研究B,,
337,FALSE,TRUE,TRUE,,PLD-11698,560,20,AMS,-26.11,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),第3号竪穴住居跡　床面,中居林遺跡,Nakaibayashiiseki,八戸市大字中居林字中居林,40.48821944,141.4939889,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第470集　長久保(2)遺跡Ⅲ　糠塚小沢遺跡Ⅱ　中居林遺跡Ⅱ,,
338,FALSE,TRUE,TRUE,,PLD-12287,1124,20,AMS,-24.19,NA,Charred Seed,炭化種実(イネ炭化種子),carbonized seed seed/nuts rice (Oryza sativa),SI05　イ区2号土壌サンプル,中平遺跡,Nakadairaiseki,青森市浪岡大字吉野田字平野,40.72323056,140.5305194,Aomori,Tohoku,Rekihaku 14C Database,2010,青森県埋蔵文化財調査報告書第490集　中平遺跡Ⅱ,,
339,FALSE,TRUE,TRUE,,PLD-12328,1350,18,AMS,-27.32,NA,Seed,生種実(イネ果実),seed/nuts fruit /achenes etc rice (Oryza sativa),火山灰範囲12　Ⅱa層,宮田館遺跡,Miyatadateiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
340,FALSE,TRUE,TRUE,,PLD-12397,2154,21,AMS,-23.4,NA,Charred Seed,炭化種子(イネ･玄米),carbonized seed rice (Oryza sativa),5号土坑　1.2層,佐寺原遺跡(3次調査),Sateraharaiseki（3jichosa）,日田市大字有田字佐寺原50-1,33.3394,130.9796806,Oita,Kyushu,Rekihaku 14C Database,2011,佐寺原遺跡　ｰ2･3次調査ｰ,,
341,FALSE,TRUE,TRUE,,PLD-12604,1260,23,AMS,-24.91,NA,Charred Seed,炭化種実(炭化米),carbonized seed/nuts rice (Oryza sativa),SD9,上五明条里水田址,Kamigomyojorisuidenshi,坂城町大字上平,36.44278889,138.14725,Nagano,Chubu,Rekihaku 14C Database,2011,長野県埋蔵文化財センター発掘調査報告書97　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書2　坂城町内　上五明条里水田址,,
342,FALSE,TRUE,TRUE,,PLD-12741,2216,22,AMS,-26.57,NA,Charred Seed,炭化種子(イネ:玄米),carbonized seed rice (Oryza sativa),6号土坑,佐寺原遺跡(3次調査),Sateraharaiseki（3jichosa）,日田市大字有田字佐寺原50-1,33.3394,130.9796806,Oita,Kyushu,Rekihaku 14C Database,2011,佐寺原遺跡　ｰ2･3次調査ｰ,,
343,FALSE,TRUE,TRUE,,PLD-12742,2062,21,AMS,-25.47,NA,Charred Seed,炭化種子(イネ:玄米),carbonized seed rice (Oryza sativa),2号竪穴住居跡　炉1層　,佐寺原遺跡(3次調査),Sateraharaiseki（3jichosa）,日田市大字有田字佐寺原50-1,33.3394,130.9796806,Oita,Kyushu,Rekihaku 14C Database,2011,佐寺原遺跡　ｰ2･3次調査ｰ,,
344,FALSE,TRUE,TRUE,,PLD-1306,960,20,AMS,NA,-24.5,Charred Seed,炭化米,carbonized rice (Oryza sativa),SN1322,厨川谷地遺跡,Kuriyagawayachiiseki,仙北郡美郷町土崎字厨川谷地,39.46821111,140.5619806,Akita,Tohoku,Rekihaku 14C Database,2005,秋田県文化財調査報告書第383集　厨川谷地遺跡,,
345,FALSE,TRUE,TRUE,,PLD-14141,546,19,AMS,-23.39,NA,Charred Seed,イネ炭化種子,carbonized seed rice (Oryza sativa),SK-27　第4層,中平遺跡,Nakadairaiseki,青森市浪岡大字吉野田字平野,40.72323056,140.5305194,Aomori,Tohoku,Rekihaku 14C Database,2010,青森県埋蔵文化財調査報告書第490集　中平遺跡Ⅱ,,
346,FALSE,TRUE,TRUE,,PLD-14143,116,19,AMS,-22.03,NA,Charred Seed,イネ炭化種子,carbonized seed rice (Oryza sativa),EV-54-54　土器内堆積土,中平遺跡,Nakadairaiseki,青森市浪岡大字吉野田字平野,40.72323056,140.5305194,Aomori,Tohoku,Rekihaku 14C Database,2010,青森県埋蔵文化財調査報告書第490集　中平遺跡Ⅱ,,
347,FALSE,TRUE,TRUE,,PLD-14145,582,21,AMS,-24.17,NA,Charred Seed,イネ炭化種子,carbonized seed rice (Oryza sativa),SK-568側　基本層序Ⅱ層,中平遺跡,Nakadairaiseki,青森市浪岡大字吉野田字平野,40.72323056,140.5305194,Aomori,Tohoku,Rekihaku 14C Database,2010,青森県埋蔵文化財調査報告書第490集　中平遺跡Ⅱ,,
348,FALSE,TRUE,TRUE,,PLD-14163,782,18,AMS,-26.6,NA,Charred Seed,イネ炭化種子,carbonized seed rice (Oryza sativa),22号井戸12層,釣上高岡南遺跡,Kagiagetakaokaminamiiseki,さいたま市岩槻区大字釣上字高岡,35.90056111,139.7421306,Saitama,Kanto,Rekihaku 14C Database,2009,さいたま市遺跡調査会報告書第104集　釣上新田上遺跡　釣上高岡南遺跡　尾ヶ崎新田深町西遺跡　尾ヶ崎新田深町遺跡,,
349,FALSE,TRUE,TRUE,,PLD-14300,1229,20,AMS,-22.37,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:1･2･3　SR1　1号焼土土坑　炉内埋土　,梅北針谷遺跡,Umekitaharitaniiseki,都城市梅北町231番地2他,31.66256944,131.0553694,Miyazaki,Kyushu,Rekihaku 14C Database,2011,宮崎県埋蔵文化財センター発掘調査報告書　第204集　梅北針谷遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書2,,
350,FALSE,TRUE,TRUE,,PLD-14301,1219,21,AMS,-23.67,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:3･4･5　SR2　　2号焼土土坑　炉内埋土,梅北針谷遺跡,Umekitaharitaniiseki,都城市梅北町231番地2他,31.66256944,131.0553694,Miyazaki,Kyushu,Rekihaku 14C Database,2011,宮崎県埋蔵文化財センター発掘調査報告書　第204集　梅北針谷遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書2,,
351,FALSE,TRUE,TRUE,,PLD-14302,1255,22,AMS,-22.85,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:6･7　SR3　3号焼土土坑　炉内埋土,梅北針谷遺跡,Umekitaharitaniiseki,都城市梅北町231番地2他,31.66256944,131.0553694,Miyazaki,Kyushu,Rekihaku 14C Database,2011,宮崎県埋蔵文化財センター発掘調査報告書　第204集　梅北針谷遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書2,,
352,FALSE,TRUE,TRUE,,PLD-14303,1218,21,AMS,-24.39,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),試料№:8　SR5 5号焼土土坑　炉内埋土,梅北針谷遺跡,Umekitaharitaniiseki,都城市梅北町231番地2他,31.66256944,131.0553694,Miyazaki,Kyushu,Rekihaku 14C Database,2011,宮崎県埋蔵文化財センター発掘調査報告書　第204集　梅北針谷遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書2,,
353,FALSE,TRUE,TRUE,,PLD-14359,1827,25,AMS,-23.69,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),"竪穴住居址H56 No,1土器内",北一本柳遺跡,Kitaipponyanagiiseki,佐久市岩村田字西北一本柳,36.2701,138.468,Nagano,Chubu,Rekihaku 14C Database,2010,佐久市埋蔵文化財調査報告書第175集　第1分冊　西一本柳遺跡ⅩⅣ,Updated coordinated from Nabunken Database,
354,FALSE,TRUE,TRUE,,PLD-14360,1845,25,AMS,-25.84,NA,Charred Seed,炭化米(マメ類種子),carbonized seed rice (Oryza sativa) legume (Fabaceae),竪穴住居址H61　,北一本柳遺跡,Kitaipponyanagiiseki,佐久市岩村田字西北一本柳,36.2701,138.468,Nagano,Chubu,Rekihaku 14C Database,2010,佐久市埋蔵文化財調査報告書第175集　第1分冊　西一本柳遺跡ⅩⅣ,"Date is on rice and a legume, I assume azuki or soybean [CJS]; Updated coordinated from Nabunken Database",
355,FALSE,TRUE,TRUE,,PLD-14362,2091,25,AMS,-24.07,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),溝跡M11　No.4土器内,西一本柳遺跡,Nishiipponyanagiiseki,佐久市岩村田字西一本柳,36.265833,138.468055,Nagano,Chubu,Rekihaku 14C Database,2010,佐久市埋蔵文化財調査報告書第175集　第1分冊　西一本柳遺跡ⅩⅣ,Updated coordinated from Nabunken Database,
356,FALSE,TRUE,TRUE,,PLD-14905,342,23,AMS,-25.01,NA,Charred Seed,炭化イネ,carbonized rice (Oryza sativa),SBJ09不明遺構,桜洞城跡,Sakuraborajoato,下呂市萩原町,35.94423056,137.2119611,Gifu,Chubu,Rekihaku 14C Database,2014,下呂市文化財調査報告書第3集　桜洞城跡発掘調査報告書,,
357,FALSE,TRUE,TRUE,,PLD-15588,334,18,AMS,-22.55,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),グリッド　L66　方形土坑SK29,武蔵国府関連遺跡,Musashikokufukanreniseki,府中市西府町,35.66852176,139.4734519,Tokyo,Kanto,Rekihaku 14C Database,2010,府中市埋蔵文化財調査報告第45集　西府･本宿町地域の調査2,,
